Datetime,AG,AL,AU,A,CF,CU,C,MA,PM,RU,SC,SN,SR,Y
02/01/2014,5553,12240,311.92999999999984,3387,20095,46780,1939,,2827,37740,,,5315,4890
03/01/2014,5553,12195,313.8799999999999,3391,20035,46030,1930,,2827,37230,,,5288,4790
06/01/2014,5534,12105,314.3799999999999,3399,19990,45880,1941,,2857,36850,,,5179,4664
07/01/2014,5533,12105,314.42999999999984,3403,20205,45970,1956,,2848,36420,,,5143,4580
08/01/2014,5428,12060,311.27999999999986,3406,20470,46170,1961,,2848,36340,,,5090,4576
09/01/2014,5390,12015,311.22999999999985,3434,20405,45330,1965,,2848,36460,,,5073,4604
10/01/2014,5424,12005,312.3799999999999,3507,20335,45470,1962,,2848,36525,,,5080,4616
13/01/2014,5484,11960,314.92999999999984,3453,20470,45800,1963,,2848,35945,,,5085,4594
14/01/2014,5518,11970,315.17999999999984,3462,20595,45900,1960,,2848,36355,,,5104,4622
15/01/2014,5482,11910,312.97999999999985,3485,20555,45560,1957,,2848,36280,,,5068,4580
16/01/2014,5479,11955,313.22999999999985,3521,20480,45930,1954,,2874,36360,,,4998,4592
17/01/2014,5483,11970,313.42999999999984,3525,20570,46020,1955,,2845,36235,,,5010,4576
20/01/2014,5518,12035,315.47999999999985,3575,20520,46010,1960,,2861,36435,,,5047,4670
21/01/2014,5492,12005,314.8799999999999,3574,20520,45840,1955,,2864,36030,,,4998,4634
22/01/2014,5430,11980,312.47999999999985,3536,20515,45840,1955,,2893,36195,,,5012,4630
23/01/2014,5413,11920,311.8799999999999,3540,20485,45620,1957,,2876,36165,,,4993,4628
24/01/2014,5464,11860,315.72999999999985,3519,20560,45480,1955,,2876,36175,,,5005,4574
27/01/2014,5442,11770,317.0799999999998,3523,20520,45190,1962,,2876,35555,,,4999,4504
28/01/2014,5442,11805,315.3299999999998,3505,20410,45210,1962,,2857,35215,,,4901,4404
29/01/2014,5425,11770,315.02999999999986,3504,20455,45270,1962,,2866,35240,,,4939,4418
30/01/2014,5401,11790,315.42999999999984,3475,20465,45160,1958,,2876,35085,,,4912,4358
07/02/2014,5436,11560,316.17999999999984,3527,20590,45240,1958,,2874,34995,,,5010,4582
10/02/2014,5489,11595,318.3799999999999,3584,20765,45280,1934,,2871,35485,,,5057,4646
11/02/2014,5473,11475,320.17999999999984,3584,20650,44600,1937,,2874,35410,,,5042,4586
12/02/2014,5475,11550,320.5799999999998,3612,20725,44860,1936,,2870,35360,,,5040,4612
13/02/2014,5476,11585,321.02999999999986,3629,20625,44830,1941,,2870,35195,,,5094,4646
14/02/2014,5589,11660,324.32999999999987,3623,20775,44880,1942,,2870,35225,,,5089,4712
17/02/2014,5780,11725,328.67999999999984,3605,20715,45280,1939,,2870,35965,,,5037,4696
18/02/2014,5752,11610,326.57999999999987,3577,20670,44910,1939,,2870,35745,,,5057,4672
19/02/2014,5772,11655,326.82999999999987,3564,20755,44950,1937,,2870,35795,,,5071,4766
20/02/2014,5728,11625,325.97999999999985,3575,20680,44700,1942,,2870,35175,,,5094,4778
21/02/2014,5734,11635,327.02999999999986,3579,20695,44820,1944,,2870,35165,,,5158,4740
24/02/2014,5748,11550,328.92999999999984,3609,20510,44210,1940,,2830,34410,,,5170,4786
25/02/2014,5749,11480,330.32999999999987,3590,20485,43830,1938,,2841,34195,,,5201,4754
26/02/2014,5781,11535,332.47999999999985,3585,20275,43990,1940,,2855,34295,,,5144,4752
27/02/2014,5623,11525,329.32999999999987,3570,20110,43520,1939,,2855,33935,,,5135,4794
28/02/2014,5622,11510,330.02999999999986,3518,19475,43590,1938,,2855,34105,,,5110,4736
03/03/2014,5674,11395,333.02999999999986,3535,19900,43070,1954,,2857,33960,,,5148,4838
04/03/2014,5628,11425,331.42999999999984,3521,20010,43300,1955,,2862,33820,,,5143,4840
05/03/2014,5627,11455,330.6299999999998,3547,20080,43690,1956,,2862,34320,,,5140,5012
06/03/2014,5622,11400,330.22999999999985,3539,20010,43450,1951,,2862,34300,,,5275,5024
07/03/2014,5672,11390,333.02999999999986,3519,20060,43230,1958,,2840,34110,,,5319,5116
10/03/2014,5505,11240,328.82999999999987,3401,19740,40980,1946,,2827,33590,,,5253,5078
11/03/2014,5534,11335,330.92999999999984,3463,19695,40560,1950,,2838,34340,,,5336,5138
12/03/2014,5574,11340,334.3799999999998,3444,19530,38870,1954,,2840,34890,,,5307,5078
13/03/2014,5615,11305,337.17999999999984,3433,19640,38780,1973,,2854,34965,,,5278,5078
14/03/2014,5609,11235,336.97999999999985,3429,19635,38660,1978,,2850,34865,,,5218,4970
17/03/2014,5646,11185,340.1299999999998,3426,19670,38540,1971,,2850,34110,,,5138,4922
18/03/2014,5584,11100,336.07999999999987,3428,19695,39270,1972,,2841,34040,,,5126,4878
19/03/2014,5551,10990,335.1299999999998,3427,19680,39110,1970,,2832,34385,,,5164,4920
